person,personLabel,father,fatherLabel,mother,motherLabel,spouse,spouseLabel,child,childLabel
http://www.wikidata.org/entity/Q109257408,Q109257408,http://www.wikidata.org/entity/Q6758324,Jiluwi bin Turki Al Saud,,,,,,
http://www.wikidata.org/entity/Q109257410,Q109257410,,,,,,,,
http://www.wikidata.org/entity/Q109258685,Q109258685,http://www.wikidata.org/entity/Q12240171,Q12240171,,,,,,
http://www.wikidata.org/entity/Q114877101,Q114877101,http://www.wikidata.org/entity/Q6932844,Muhammad bin Saad,,,,,,
http://www.wikidata.org/entity/Q12183621,Q12183621,http://www.wikidata.org/entity/Q2227074,Saud II. ibn Faisal,,,,,http://www.wikidata.org/entity/Q12240171,Q12240171
http://www.wikidata.org/entity/Q12199303,Q12199303,http://www.wikidata.org/entity/Q12203729,Thamir bin Sa'ud Al Sa'ud,,,,,,
http://www.wikidata.org/entity/Q12199310,Q12199310,http://www.wikidata.org/entity/Q12242559,Musa'id bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q12202369,Q12202369,http://www.wikidata.org/entity/Q12199308,Bandar bin Muhammad Al-Saud,,,,,,
http://www.wikidata.org/entity/Q12202376,Q12202376,http://www.wikidata.org/entity/Q4664684,Abdallah bin Jiluwi,,,,,,
http://www.wikidata.org/entity/Q12210068,Q12210068,,,,,,,,
http://www.wikidata.org/entity/Q12216044,Q12216044,http://www.wikidata.org/entity/Q4664684,Abdallah bin Jiluwi,,,,,,
http://www.wikidata.org/entity/Q12216050,Q12216050,http://www.wikidata.org/entity/Q16125353,Q16125353,,,,,,
http://www.wikidata.org/entity/Q12221823,Q12221823,http://www.wikidata.org/entity/Q6751859,Mansour bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q12222565,Q12222565,http://www.wikidata.org/entity/Q12242559,Musa'id bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q12222739,Q12222739,http://www.wikidata.org/entity/Q2460829,Turki II bin Abdul-Aziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q12222758,Q12222758,http://www.wikidata.org/entity/Q4165546,Abdullah bin Faisal,,,,,,
http://www.wikidata.org/entity/Q12222771,Q12222771,http://www.wikidata.org/entity/Q6967643,Nasser bin Abdulaziz,,,,,,
http://www.wikidata.org/entity/Q12223024,Q12223024,http://www.wikidata.org/entity/Q54861686,Q54861686,,,,,,
http://www.wikidata.org/entity/Q12223496,Q12223496,,,,,,,,
http://www.wikidata.org/entity/Q12223563,Q12223563,,,,,,,http://www.wikidata.org/entity/Q28715850,Q28715850
http://www.wikidata.org/entity/Q12223563,Q12223563,,,,,,,http://www.wikidata.org/entity/Q123687980,Samira bint Abdullah Al-Faisal
http://www.wikidata.org/entity/Q12223599,Q12223599,http://www.wikidata.org/entity/Q6967643,Nasser bin Abdulaziz,,,,,,
http://www.wikidata.org/entity/Q12223795,Q12223795,http://www.wikidata.org/entity/Q4664684,Abdallah bin Jiluwi,,,,,,
http://www.wikidata.org/entity/Q12231211,Q12231211,http://www.wikidata.org/entity/Q4664684,Abdallah bin Jiluwi,,,,,http://www.wikidata.org/entity/Q12240243,Q12240243
http://www.wikidata.org/entity/Q12231214,Q12231214,,,,,,,,
http://www.wikidata.org/entity/Q12231216,Q12231216,http://www.wikidata.org/entity/Q6799038,Sa'ad bin Abdul-Rahman,,,,,,
http://www.wikidata.org/entity/Q12231231,Q12231231,,,,,,,http://www.wikidata.org/entity/Q12247739,Q12247739
http://www.wikidata.org/entity/Q12231232,Q12231232,http://www.wikidata.org/entity/Q6932834,Muhammad bin Abdul-Rahman,,,,,http://www.wikidata.org/entity/Q100728676,Al Jawhara bint Fahd Al Saud
http://www.wikidata.org/entity/Q12231234,Q12231234,http://www.wikidata.org/entity/Q6967643,Nasser bin Abdulaziz,,,,,,
http://www.wikidata.org/entity/Q12231658,Q12231658,http://www.wikidata.org/entity/Q12203730,Thamir bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q12231666,Q12231666,http://www.wikidata.org/entity/Q12183621,Q12183621,,,,,,
http://www.wikidata.org/entity/Q12240143,Q12240143,http://www.wikidata.org/entity/Q2227074,Saud II. ibn Faisal,,,,,http://www.wikidata.org/entity/Q12216545,Salmane ben Mohammed ben Saoud Al Saoud
http://www.wikidata.org/entity/Q12240171,Q12240171,http://www.wikidata.org/entity/Q12183621,Q12183621,,,,,http://www.wikidata.org/entity/Q54861686,Q54861686
http://www.wikidata.org/entity/Q12240171,Q12240171,http://www.wikidata.org/entity/Q12183621,Q12183621,,,,,http://www.wikidata.org/entity/Q109258685,Q109258685
http://www.wikidata.org/entity/Q12240243,Q12240243,http://www.wikidata.org/entity/Q12231211,Q12231211,,,,,,
http://www.wikidata.org/entity/Q12240246,Q12240246,,,,,,,,
http://www.wikidata.org/entity/Q12243047,Q12243047,http://www.wikidata.org/entity/Q6758324,Jiluwi bin Turki Al Saud,,,,,,
http://www.wikidata.org/entity/Q12243172,Q12243172,http://www.wikidata.org/entity/Q12197692,Badr bin Saud bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q12247736,Q12247736,,,,,,,,
