person,personLabel,father,fatherLabel,mother,motherLabel,spouse,spouseLabel,child,childLabel
http://www.wikidata.org/entity/Q12247739,Q12247739,http://www.wikidata.org/entity/Q12231231,Q12231231,,,,,,
http://www.wikidata.org/entity/Q12249080,Q12249080,,,,,,,,
http://www.wikidata.org/entity/Q122640080,Q122640080,,,,,,,,
http://www.wikidata.org/entity/Q124341360,Q124341360,http://www.wikidata.org/entity/Q2602302,Mishaal bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q125492927,Q125492927,http://www.wikidata.org/entity/Q6758324,Jiluwi bin Turki Al Saud,,,,,,
http://www.wikidata.org/entity/Q138328160,Q138328160,http://www.wikidata.org/entity/Q1975943,Muhammad bin Abdulaziz Al Saud,,,,,http://www.wikidata.org/entity/Q30315032,Mohammed bin Abdulaziz bin Mohammed Al Saud
http://www.wikidata.org/entity/Q16117559,Q16117559,,,,,,,,
http://www.wikidata.org/entity/Q16118255,Q16118255,,,,,,,,
http://www.wikidata.org/entity/Q16118284,Q16118284,http://www.wikidata.org/entity/Q2602302,Mishaal bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q16118777,Q16118777,,,,,,,,
http://www.wikidata.org/entity/Q16119065,Q16119065,,,,,,,,
http://www.wikidata.org/entity/Q16120810,Q16120810,,,,,,,,
http://www.wikidata.org/entity/Q16120827,Q16120827,,,,,,,,
http://www.wikidata.org/entity/Q16125353,Q16125353,,,,,,,http://www.wikidata.org/entity/Q12216050,Q12216050
http://www.wikidata.org/entity/Q16126258,Q16126258,http://www.wikidata.org/entity/Q12240141,Muhammed bin Saud Al Saud,,,,,,
http://www.wikidata.org/entity/Q16127600,Q16127600,http://www.wikidata.org/entity/Q742051,Khalid bin Sultan,,,,,,
http://www.wikidata.org/entity/Q16128166,Q16128166,,,,,,,,
http://www.wikidata.org/entity/Q16677115,Q16677115,,,,,,,,
http://www.wikidata.org/entity/Q20387440,Q20387440,,,,,,,,
http://www.wikidata.org/entity/Q20399103,Q20399103,,,,,,,,
http://www.wikidata.org/entity/Q22686427,Q22686427,http://www.wikidata.org/entity/Q6967643,Nasser bin Abdulaziz,,,,,,
http://www.wikidata.org/entity/Q22687654,Q22687654,,,,,,,,
http://www.wikidata.org/entity/Q22688749,Q22688749,http://www.wikidata.org/entity/Q98955767,Mohammed bin Saud Al Kabir,,,,,,
http://www.wikidata.org/entity/Q22688769,Q22688769,,,,,,,,
http://www.wikidata.org/entity/Q28355874,Q28355874,http://www.wikidata.org/entity/Q12242559,Musa'id bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q28715850,Q28715850,http://www.wikidata.org/entity/Q12223563,Q12223563,,,,,,
http://www.wikidata.org/entity/Q37531194,Q37531194,,,,,,,,
http://www.wikidata.org/entity/Q43282082,Q43282082,http://www.wikidata.org/entity/Q12243174,Mishaal bin Saud,,,,,,
http://www.wikidata.org/entity/Q54861686,Q54861686,http://www.wikidata.org/entity/Q12240171,Q12240171,,,,,http://www.wikidata.org/entity/Q20383955,Bader bin Saud bin Mohammed Al-Saud
http://www.wikidata.org/entity/Q54861686,Q54861686,http://www.wikidata.org/entity/Q12240171,Q12240171,,,,,http://www.wikidata.org/entity/Q85202140,Q85202140
http://www.wikidata.org/entity/Q55980039,Q55980039,http://www.wikidata.org/entity/Q12231210,Fahd bin Turki Al Saud,http://www.wikidata.org/entity/Q99205504,Abeer bint Abdullah,,,,
http://www.wikidata.org/entity/Q60565419,Q60565419,,,,,,,,
http://www.wikidata.org/entity/Q60565421,Q60565421,,,,,,,,
http://www.wikidata.org/entity/Q60572614,Q60572614,,,,,,,,
http://www.wikidata.org/entity/Q66091547,Q66091547,http://www.wikidata.org/entity/Q68168018,Turki bin Saud Al Kabir,,,,,,
http://www.wikidata.org/entity/Q67188262,Q67188262,http://www.wikidata.org/entity/Q401645,Ahmed bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q6800534,Q6800534,,,,,,,,
http://www.wikidata.org/entity/Q68169570,Q68169570,http://www.wikidata.org/entity/Q12240143,Q12240143,,,,,,
http://www.wikidata.org/entity/Q68169607,Q68169607,,,,,,,,
http://www.wikidata.org/entity/Q68169881,Q68169881,http://www.wikidata.org/entity/Q1393513,Faisal bin Turki bin Abdullah Al Saud,,,,,,
http://www.wikidata.org/entity/Q6853693,Q6853693,,,,,,,,
http://www.wikidata.org/entity/Q79350994,Q79350994,http://www.wikidata.org/entity/Q6893450,Mohammed bin Faisal Al Saud,,,,,,
http://www.wikidata.org/entity/Q85202140,Q85202140,http://www.wikidata.org/entity/Q54861686,Q54861686,,,,,,
http://www.wikidata.org/entity/Q85870263,Q85870263,,,,,,,,
http://www.wikidata.org/entity/Q12223497,Abd Allah bin Sa'ud Al Sa'ud,http://www.wikidata.org/entity/Q244206,Saud of Saudi Arabia,,,,,,
http://www.wikidata.org/entity/Q12222475,Abd al-Ilah bin Sa'ud Al Sa'ud,http://www.wikidata.org/entity/Q244206,Saud of Saudi Arabia,,,,,,
http://www.wikidata.org/entity/Q12223752,Abd al-Majid bin Sa'ud Al Sa'ud,http://www.wikidata.org/entity/Q244206,Saud of Saudi Arabia,,,,,,
http://www.wikidata.org/entity/Q4664684,Abdallah bin Jiluwi,http://www.wikidata.org/entity/Q6758324,Jiluwi bin Turki Al Saud,,,,,http://www.wikidata.org/entity/Q12202376,Q12202376
http://www.wikidata.org/entity/Q4664684,Abdallah bin Jiluwi,http://www.wikidata.org/entity/Q6758324,Jiluwi bin Turki Al Saud,,,,,http://www.wikidata.org/entity/Q12216044,Q12216044
http://www.wikidata.org/entity/Q4664684,Abdallah bin Jiluwi,http://www.wikidata.org/entity/Q6758324,Jiluwi bin Turki Al Saud,,,,,http://www.wikidata.org/entity/Q12223795,Q12223795
http://www.wikidata.org/entity/Q4664684,Abdallah bin Jiluwi,http://www.wikidata.org/entity/Q6758324,Jiluwi bin Turki Al Saud,,,,,http://www.wikidata.org/entity/Q12231211,Q12231211
http://www.wikidata.org/entity/Q25336699,Abdallah bin Khalid,http://www.wikidata.org/entity/Q208301,Khalid of Saudi Arabia,,,,,,
http://www.wikidata.org/entity/Q4664686,Abdallah bin Muhammad bin Saud,http://www.wikidata.org/entity/Q1319659,Muhammad bin Saud,,,,,http://www.wikidata.org/entity/Q2460824,Turki bin Abdullah Al Saud
http://www.wikidata.org/entity/Q12223055,Abdul Aziz bin Musaid,,,,,,,http://www.wikidata.org/entity/Q12223532,Abdullah bin Abdulaziz bin Musa'ed bin Jiluwi Al Saud
http://www.wikidata.org/entity/Q16118239,Abdul Aziz bin Saud bin Abdul Aziz Al Saud,http://www.wikidata.org/entity/Q244206,Saud of Saudi Arabia,,,,,,
http://www.wikidata.org/entity/Q4665420,Abdul Ilah bin Abdulaziz Al Saud,http://www.wikidata.org/entity/Q151509,Ibn Saud,,,,,,
http://www.wikidata.org/entity/Q16118602,Abdul Karim bin Saud bin Abdulaziz Al Saud,http://www.wikidata.org/entity/Q244206,Saud of Saudi Arabia,,,,,,
http://www.wikidata.org/entity/Q4115542,Abdul Majeed bin Abdulaziz Al Saud,http://www.wikidata.org/entity/Q151509,Ibn Saud,,,,,,
http://www.wikidata.org/entity/Q16119531,Abdul Malik bin Sa'ud Al Sa'ud,http://www.wikidata.org/entity/Q244206,Saud of Saudi Arabia,,,,,,
http://www.wikidata.org/entity/Q12223790,Abdul Mohsen bin Saud bin Abdul Aziz Al Saud,http://www.wikidata.org/entity/Q244206,Saud of Saudi Arabia,,,,,,
http://www.wikidata.org/entity/Q12223794,Abdul Muhsin bin Abdulaziz Al Saud,http://www.wikidata.org/entity/Q151509,Ibn Saud,http://www.wikidata.org/entity/Q4704130,Al Jawhara bint Musaed Al Jiluwi,,,http://www.wikidata.org/entity/Q7427049,Saud bin Abdul Muhsin Al Saud
http://www.wikidata.org/entity/Q12223794,Abdul Muhsin bin Abdulaziz Al Saud,http://www.wikidata.org/entity/Q151509,Ibn Saud,http://www.wikidata.org/entity/Q4704130,Al Jawhara bint Musaed Al Jiluwi,,,http://www.wikidata.org/entity/Q12197694,Badr bin Abdul Muhsin bin Abdulaziz
http://www.wikidata.org/entity/Q98418867,Abdul Rahman Al Faisal,http://www.wikidata.org/entity/Q217167,King Faisal bin Abdulaziz Al Saud,,,,,http://www.wikidata.org/entity/Q62094755,Al-Bandari Bint Abdul Rahman Al-Faisal
http://www.wikidata.org/entity/Q317421,Abdul Rahman bin Faisal,http://www.wikidata.org/entity/Q1393513,Faisal bin Turki bin Abdullah Al Saud,,,,,http://www.wikidata.org/entity/Q151509,Ibn Saud
http://www.wikidata.org/entity/Q317421,Abdul Rahman bin Faisal,http://www.wikidata.org/entity/Q1393513,Faisal bin Turki bin Abdullah Al Saud,,,,,http://www.wikidata.org/entity/Q4666095,Abdullah bin Abdul-Rahman
http://www.wikidata.org/entity/Q317421,Abdul Rahman bin Faisal,http://www.wikidata.org/entity/Q1393513,Faisal bin Turki bin Abdullah Al Saud,,,,,http://www.wikidata.org/entity/Q6799038,Sa'ad bin Abdul-Rahman
http://www.wikidata.org/entity/Q317421,Abdul Rahman bin Faisal,http://www.wikidata.org/entity/Q1393513,Faisal bin Turki bin Abdullah Al Saud,,,,,http://www.wikidata.org/entity/Q6932834,Muhammad bin Abdul-Rahman
http://www.wikidata.org/entity/Q317421,Abdul Rahman bin Faisal,http://www.wikidata.org/entity/Q1393513,Faisal bin Turki bin Abdullah Al Saud,,,,,http://www.wikidata.org/entity/Q7069938,Noura bint Abdul Rahman Al Saud
http://www.wikidata.org/entity/Q317421,Abdul Rahman bin Faisal,http://www.wikidata.org/entity/Q1393513,Faisal bin Turki bin Abdullah Al Saud,,,,,http://www.wikidata.org/entity/Q12210024,Khalid bin Abdul Rahman bin Faisal bin Turki Al Saud
http://www.wikidata.org/entity/Q317421,Abdul Rahman bin Faisal,http://www.wikidata.org/entity/Q1393513,Faisal bin Turki bin Abdullah Al Saud,,,,,http://www.wikidata.org/entity/Q12216038,Saud bin Abdul Rahman bin Faisal Al Saud
http://www.wikidata.org/entity/Q317421,Abdul Rahman bin Faisal,http://www.wikidata.org/entity/Q1393513,Faisal bin Turki bin Abdullah Al Saud,,,,,http://www.wikidata.org/entity/Q12231223,Fahd bin Abdul Rahman bin Faisal Al Saud
http://www.wikidata.org/entity/Q317421,Abdul Rahman bin Faisal,http://www.wikidata.org/entity/Q1393513,Faisal bin Turki bin Abdullah Al Saud,,,,,http://www.wikidata.org/entity/Q12231664,Faisal bin Abdul Rahman bin Faisal bin Turki Al Saud
http://www.wikidata.org/entity/Q317421,Abdul Rahman bin Faisal,http://www.wikidata.org/entity/Q1393513,Faisal bin Turki bin Abdullah Al Saud,,,,,http://www.wikidata.org/entity/Q25451979,Saad II bin Abdul Rahman bin Faisal Al Saud
http://www.wikidata.org/entity/Q317421,Abdul Rahman bin Faisal,http://www.wikidata.org/entity/Q1393513,Faisal bin Turki bin Abdullah Al Saud,,,,,http://www.wikidata.org/entity/Q98767348,Musaid bin Abdul Rahman
http://www.wikidata.org/entity/Q4665663,Abdul Rahman bin Saud Al Saud,http://www.wikidata.org/entity/Q244206,Saud of Saudi Arabia,,,,,http://www.wikidata.org/entity/Q5431086,Faisal bin Abdulrahman bin Saud
http://www.wikidata.org/entity/Q4665663,Abdul Rahman bin Saud Al Saud,http://www.wikidata.org/entity/Q244206,Saud of Saudi Arabia,,,,,http://www.wikidata.org/entity/Q18720234,Mamdouh bin Abdul-Rahman ibn Saud Al-Saud
http://www.wikidata.org/entity/Q4665226,Abdul-Aziz bin Talal bin Abdul-Aziz Al Saud,http://www.wikidata.org/entity/Q712690,Talal bin Abdulaziz Al Saud,,,http://www.wikidata.org/entity/Q63313846,Sora bint Saud Al Saud,,
http://www.wikidata.org/entity/Q307463,Abdul-Rahman bin Abdul-Aziz Al Saud,http://www.wikidata.org/entity/Q151509,Ibn Saud,http://www.wikidata.org/entity/Q205051,Hassa bint Ahmed Al Sudairi,,,http://www.wikidata.org/entity/Q63469597,Mohammed bin Abdul Rahman Al Saud
http://www.wikidata.org/entity/Q20675805,Abdulaziz Bin Turki Bin Talal Al-Saud,http://www.wikidata.org/entity/Q7855214,Turki bin Talal bin Abdul Aziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q12223041,Abdulaziz bin Abdullah,http://www.wikidata.org/entity/Q57298,Abdullah of Saudi Arabia,http://www.wikidata.org/entity/Q102205480,Aida Fustuq,,,,
http://www.wikidata.org/entity/Q4665818,Abdulaziz bin Ahmed Al Saud,http://www.wikidata.org/entity/Q401645,Ahmed bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q12223020,Abdulaziz bin Bandar Al Saud,http://www.wikidata.org/entity/Q4854440,Bandar bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q4665291,Abdulaziz bin Fahad bin Abdulaziz Al Saud,http://www.wikidata.org/entity/Q183187,Fahd bin Abdulaziz Al Saud,http://www.wikidata.org/entity/Q4704128,Al Jawhara bint Ibrahim Al Ibrahim,,,,
http://www.wikidata.org/entity/Q4665823,Abdulaziz bin Majid,http://www.wikidata.org/entity/Q12238128,Majid bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q307187,Abdulaziz bin Mohammed,http://www.wikidata.org/entity/Q1319659,Muhammad bin Saud,,,http://www.wikidata.org/entity/Q57334593,Al Jawhara Al Muammar,http://www.wikidata.org/entity/Q2227089,Saud al-Kabeer
http://www.wikidata.org/entity/Q307187,Abdulaziz bin Mohammed,http://www.wikidata.org/entity/Q1319659,Muhammad bin Saud,,,http://www.wikidata.org/entity/Q57334593,Al Jawhara Al Muammar,http://www.wikidata.org/entity/Q16713202,Umar bin Abdulaziz Al Saud
http://www.wikidata.org/entity/Q12223054,Abdulaziz bin Nasser bin Abdulaziz Al Saud,http://www.wikidata.org/entity/Q6967643,Nasser bin Abdulaziz,,,,,http://www.wikidata.org/entity/Q3473090,Saud bin Abdulaziz bin Nasser Al Saud
http://www.wikidata.org/entity/Q35369443,Abdulaziz bin Saad bin Abdulaziz,http://www.wikidata.org/entity/Q7395569,Saad bin Abdulaziz,,,,,,
http://www.wikidata.org/entity/Q4665821,Abdulaziz bin Salman,http://www.wikidata.org/entity/Q367825,Salman bin Abdulaziz Al Saud,http://www.wikidata.org/entity/Q76367273,Sultana bint Turki Al Sudairi,,,,
http://www.wikidata.org/entity/Q16193305,Abdulaziz bin Salman bin Muhammad Al Saud,http://www.wikidata.org/entity/Q12216545,Salmane ben Mohammed ben Saoud Al Saoud,,,,,http://www.wikidata.org/entity/Q7405428,Salman bin Abdulaziz bin Salman Al Saud
http://www.wikidata.org/entity/Q30402542,Abdulaziz bin Saud Al Saud,http://www.wikidata.org/entity/Q7427055,Saud ibn Nayef Al Saud,,,,,,
http://www.wikidata.org/entity/Q21014401,Abdulaziz bin Saud bin Abdulaziz Al Rashid,http://www.wikidata.org/entity/Q3473086,Saud bin Abdulaziz,http://www.wikidata.org/entity/Q1392056,Fahda bint Asi Al Shuraim,,,,
http://www.wikidata.org/entity/Q137386516,Abdulaziz bin Saud bin Fahd Al Saud,http://www.wikidata.org/entity/Q14514894,Saud bin Fahd bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q4665824,Abdulaziz bin Turki Al-Faisal,http://www.wikidata.org/entity/Q4165651,Turki bin Faisal Al Saud,,,,,,
http://www.wikidata.org/entity/Q4666095,Abdullah bin Abdul-Rahman,http://www.wikidata.org/entity/Q317421,Abdul Rahman bin Faisal,,,,,http://www.wikidata.org/entity/Q1527923,Khalid ibn Abdullah
http://www.wikidata.org/entity/Q12223532,Abdullah bin Abdulaziz bin Musa'ed bin Jiluwi Al Saud,http://www.wikidata.org/entity/Q12223055,Abdul Aziz bin Musaid,,,,,http://www.wikidata.org/entity/Q20667130,Mish'aal bin Abdullah bin Abdulaziz bin Musa'ed Al Saud
http://www.wikidata.org/entity/Q108113176,Abdullah bin Abdullah bin Thunayan Al Saud,http://www.wikidata.org/entity/Q307588,Abdullah bin Thunayan Al Saud,,,,,http://www.wikidata.org/entity/Q20385123,Ahmed bin Abdullah Al Thunayan
http://www.wikidata.org/entity/Q60195440,Abdullah bin Bandar bin Abdulaziz Al Saud,http://www.wikidata.org/entity/Q4854440,Bandar bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q307590,Abdullah bin Faisal,http://www.wikidata.org/entity/Q1393513,Faisal bin Turki bin Abdullah Al Saud,,,http://www.wikidata.org/entity/Q111995759,Noura bint Abdullah bin Ali bin Rashid,,
http://www.wikidata.org/entity/Q4165546,Abdullah bin Faisal,http://www.wikidata.org/entity/Q217167,King Faisal bin Abdulaziz Al Saud,,,,,http://www.wikidata.org/entity/Q12222758,Q12222758
http://www.wikidata.org/entity/Q4165546,Abdullah bin Faisal,http://www.wikidata.org/entity/Q217167,King Faisal bin Abdulaziz Al Saud,,,,,http://www.wikidata.org/entity/Q12240185,Mohammed bin Abdullah Al Saud
http://www.wikidata.org/entity/Q4165546,Abdullah bin Faisal,http://www.wikidata.org/entity/Q217167,King Faisal bin Abdulaziz Al Saud,,,,,http://www.wikidata.org/entity/Q106949529,Saud bin Abdullah Al Saud
http://www.wikidata.org/entity/Q4165546,Abdullah bin Faisal,http://www.wikidata.org/entity/Q217167,King Faisal bin Abdulaziz Al Saud,,,,,http://www.wikidata.org/entity/Q107007381,Khalid bin Abdullah bin Faisal Al Saud
http://www.wikidata.org/entity/Q4666099,Abdullah bin Faisal bin Turki,,,http://www.wikidata.org/entity/Q6463718,Luluwah bint Abdul-Aziz Al Saud,,,,
http://www.wikidata.org/entity/Q12223562,Abdullah bin Faisal bin Turki I Al Saud,http://www.wikidata.org/entity/Q12231655,Faisal bin Turki I bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q87436373,Abdullah bin Khalid bin Sultan Al Saud,http://www.wikidata.org/entity/Q742051,Khalid bin Sultan,,,,,,
http://www.wikidata.org/entity/Q25336702,Abdullah bin Mohammad,http://www.wikidata.org/entity/Q6932834,Muhammad bin Abdul-Rahman,http://www.wikidata.org/entity/Q205051,Hassa bint Ahmed Al Sudairi,http://www.wikidata.org/entity/Q25336703,Noura bint Saud,http://www.wikidata.org/entity/Q3064457,Fahd bin Abdullah bin Mohammed Al Saud
http://www.wikidata.org/entity/Q25336702,Abdullah bin Mohammad,http://www.wikidata.org/entity/Q6932834,Muhammad bin Abdul-Rahman,http://www.wikidata.org/entity/Q205051,Hassa bint Ahmed Al Sudairi,http://www.wikidata.org/entity/Q25336703,Noura bint Saud,http://www.wikidata.org/entity/Q12216046,Seoud Bin Abdallah
http://www.wikidata.org/entity/Q12224200,Abdullah bin Mosaad bin Abdulaziz Al Saud,http://www.wikidata.org/entity/Q12242559,Musa'id bin Abdulaziz Al Saud,,,,,,
http://www.wikidata.org/entity/Q317783,Abdullah bin Mutaib,http://www.wikidata.org/entity/Q6943650,Mutaib bin Abdullah,,,,,,
http://www.wikidata.org/entity/Q28715291,Abdullah bin Saad,http://www.wikidata.org/entity/Q7395569,Saad bin Abdulaziz,,,,,,
http://www.wikidata.org/entity/Q307587,Abdullah bin Saud Al Kabeer,http://www.wikidata.org/entity/Q2227089,Saud al-Kabeer,,,,,,
http://www.wikidata.org/entity/Q12223498,Abdullah bin Saud bin Abdul Aziz Al Saud,http://www.wikidata.org/entity/Q244206,Saud of Saudi Arabia,,,,,,
http://www.wikidata.org/entity/Q102371457,Abdullah bin Saud bin Muhammad bin Abdulaziz Al Saud,http://www.wikidata.org/entity/Q54861686,Q54861686,,,,,,
http://www.wikidata.org/entity/Q307588,Abdullah bin Thunayan Al Saud,,,,,,,http://www.wikidata.org/entity/Q108113176,Abdullah bin Abdullah bin Thunayan Al Saud
http://www.wikidata.org/entity/Q57298,Abdullah of Saudi Arabia,http://www.wikidata.org/entity/Q151509,Ibn Saud,http://www.wikidata.org/entity/Q1392056,Fahda bint Asi Al Shuraim,http://www.wikidata.org/entity/Q54967144,Alanoud Al-Fayez,http://www.wikidata.org/entity/Q1441884,Adila bint Abdulla Al Saud
http://www.wikidata.org/entity/Q57298,Abdullah of Saudi Arabia,http://www.wikidata.org/entity/Q151509,Ibn Saud,http://www.wikidata.org/entity/Q1392056,Fahda bint Asi Al Shuraim,http://www.wikidata.org/entity/Q100579253,Hessa bint Trad Al Shaalan,http://www.wikidata.org/entity/Q1441884,Adila bint Abdulla Al Saud
http://www.wikidata.org/entity/Q57298,Abdullah of Saudi Arabia,http://www.wikidata.org/entity/Q151509,Ibn Saud,http://www.wikidata.org/entity/Q1392056,Fahda bint Asi Al Shuraim,http://www.wikidata.org/entity/Q102205480,Aida Fustuq,http://www.wikidata.org/entity/Q1441884,Adila bint Abdulla Al Saud
http://www.wikidata.org/entity/Q57298,Abdullah of Saudi Arabia,http://www.wikidata.org/entity/Q151509,Ibn Saud,http://www.wikidata.org/entity/Q1392056,Fahda bint Asi Al Shuraim,http://www.wikidata.org/entity/Q54967144,Alanoud Al-Fayez,http://www.wikidata.org/entity/Q4164920,Khaled bin Abdullah
http://www.wikidata.org/entity/Q57298,Abdullah of Saudi Arabia,http://www.wikidata.org/entity/Q151509,Ibn Saud,http://www.wikidata.org/entity/Q1392056,Fahda bint Asi Al Shuraim,http://www.wikidata.org/entity/Q100579253,Hessa bint Trad Al Shaalan,http://www.wikidata.org/entity/Q4164920,Khaled bin Abdullah
http://www.wikidata.org/entity/Q57298,Abdullah of Saudi Arabia,http://www.wikidata.org/entity/Q151509,Ibn Saud,http://www.wikidata.org/entity/Q1392056,Fahda bint Asi Al Shuraim,http://www.wikidata.org/entity/Q102205480,Aida Fustuq,http://www.wikidata.org/entity/Q4164920,Khaled bin Abdullah
http://www.wikidata.org/entity/Q57298,Abdullah of Saudi Arabia,http://www.wikidata.org/entity/Q151509,Ibn Saud,http://www.wikidata.org/entity/Q1392056,Fahda bint Asi Al Shuraim,http://www.wikidata.org/entity/Q54967144,Alanoud Al-Fayez,http://www.wikidata.org/entity/Q4682218,Turki bin Abdullah Al Saud
http://www.wikidata.org/entity/Q57298,Abdullah of Saudi Arabia,http://www.wikidata.org/entity/Q151509,Ibn Saud,http://www.wikidata.org/entity/Q1392056,Fahda bint Asi Al Shuraim,http://www.wikidata.org/entity/Q100579253,Hessa bint Trad Al Shaalan,http://www.wikidata.org/entity/Q4682218,Turki bin Abdullah Al Saud
